news_id,Title,Date,Tags,URL,Classification,Justification,Cable Name,Countries Involved
19,Another Internet Cable Fault Hits South Africa,2024-08-23T10:52:03-04:00,"cable fault, EASSy, Internet, shunt fault, South Africa, submarine cable, telecoms",https://subtelforum.com/another-internet-cable-fault-hits-south-africa/,Human Activity,"The article mentions a shunt fault caused by damage to the cable's insulation, which can result from human activities such as ship anchors, fishing trawlers, or backhoe dredgers. While the exact cause is unknown, the context points to potential human-induced damage rather than natural or geopolitical factors.",EASSy,South Africa
20,Pakistan Internet Issues Linked to Faulty Submarine Cable,2024-08-23T10:11:26-04:00,"cable fault, Internet, Pakistan, submarine cable, telecoms",https://subtelforum.com/pakistan-internet-issues-linked-to-faulty-submarine-cable/,Human Activity,"The article attributes the slow internet speeds to a ""faulty submarine cable"" and mentions a ""severe misconfiguration in their core network"" by an ISP, both of which are human-caused issues (maintenance or operational errors).",Unknown,Pakistan
21,2024 East Africa Submarine Cable Outage Report,2024-07-24T10:18:58-04:00,"cable faults, EASSy, East Africa, Internet, Red Sea, SEACOM, submarine cable, telecoms",https://subtelforum.com/2024-east-africa-submarine-cable-outage-report/,Human Activity,"The damage to the SEACOM and EASSy cables was caused by a suspected dragging ship anchor, which is a direct result of human activity involving maritime operations.",SEACOM,"EASSy, East Africa"
22,"Finally, Progress With Red Sea Cable Repairs",2024-07-17T10:37:20-04:00,"AAE1, cable fault, cable repair, EIG, Red Sea, SEACOM, submarine cable, telecoms",https://subtelforum.com/finally-progress-with-red-sea-cable-repairs/,Geopolitical,"The cables were damaged by the anchor of a cargo ship sunk by Iran-backed Houthi militants, and repairs are complicated by Yemen's split government and the Red Sea being a conflict zone.","SEACOM, EIG",Unknown
23,Massive Internet Outages Have Been Reported Across Africa,2024-07-12T11:20:25-04:00,"ACE, Africa, cable fault, Internet, MainOne, Network, SAT3, submarine cable, telecoms, WACS",https://subtelforum.com/massive-internet-outages-have-been-reported-across-africa/,Human Activity,"The article mentions multiple breaks in submarine cables near Abidjan in Ivory Coast, specifically naming the West African Cable System (WACS), Coastal Africa to Europe (ACE) cables, MainOne, and SAT3 cables. While the exact cause of the breaks is not specified, such incidents are typically associated with human activities like ship anchors, fishing trawlers, or construction work, rather than natural events or geopolitical actions.",Unknown,WACS
24,Vava’u and Ha’apai Suffer Third Cable Blackout,2024-07-10T12:17:20-04:00,"cable fault, Internet, Outage, submarine cable, telecoms, Tonga",https://subtelforum.com/vavau-and-haapai-suffer-third-cable-blackout/,Environmental,"The cable damage is strongly linked to an earthquake and subsequent landslides, which are natural environmental events. The timing of the cable failure aligns with the earthquake and landslides, as described in the article.",Unknown,Tonga
25,Submarine Cable Fault Disrupts Internet in Pakistan,2024-06-20T10:53:09-04:00,"cable fault, Internet, Pakistan, SEA-ME-WE 4, submarine cable, telecoms",https://subtelforum.com/submarine-cable-fault-disrupts-internet-in-pakistan/,Aging,"The article mentions a ""fault"" and ""malfunction"" in the submarine cable SMW4, suggesting degradation or technical failure without attributing it to human activity, environmental causes, or geopolitical actions.",Unknown,Pakistan
26,Vietnam Internet Disruptions as Three Submarine Cables Fail,2024-06-20T10:48:44-04:00,"AAE-1, APG, cable fault, Internet, Intra-Asia, submarine cable, telecoms, Vietnam",https://subtelforum.com/vietnam-internet-disruptions-as-three-submarine-cables-fail/,Unknown,Failed to scrape article.,APG,"AAE-1, Vietnam"
27,Ghana’s Submarine Cables Repaired,2024-05-21T11:33:35-04:00,"cable fault, Ghana, MainOne, repair, SAT-3, submarine cable, telecoms, WACS",https://subtelforum.com/ghanas-submarine-cables-repaired/,Environmental,"The damage to the undersea cables occurred near the Le Trou Sans Fond Canyon, an underwater canyon, suggesting natural seabed movement or geological activity as the cause.",Unknown,"WACS, Ghana"
28,Undersea Cable Internet Restored in East Africa After Outages,2024-05-17T13:58:54-04:00,"cable fault, EASSy, East Africa, Internet, Safaricom, SEACOM, submarine cable, telecoms",https://subtelforum.com/undersea-cable-internet-restored-in-east-africa-after-outages/,Geopolitical,"The damage to the cables in the Red Sea was directly attributed to Houthi rebels in Yemen, and the Yemeni government's actions to prevent repairs due to an ongoing criminal investigation further indicate geopolitical involvement.",SEACOM,"EASSy, East Africa"
29,Yemen Government Probes Delay AAE-1 Cable Repairs,2024-05-16T09:38:55-04:00,"AAE-1, cable fault, cable repair, Red Sea, submarine cable, telecoms, Yemen",https://subtelforum.com/yemen-government-probes-delay-aae-1-cable-repairs/,Geopolitical,"The damage to the AAE-1, EIG, and SEACOM/TGN-Eurasia cables was caused by military activity in the Red Sea, specifically attacks by Houthi rebels on Western shipping lines, which led to an anchor being dragged across the cables. The geopolitical conflict between Israel and Palestine, as well as the Houthi rebels' actions, directly caused the incident.",Unknown,"Yemen, AAE-1"
30,Repair Vessel Heads Out to Fix Major Internet Cable Break,2024-05-15T10:58:52-04:00,"Africa, cable ship, digital infrastructure, Leon Thevenin, repair, submarine cable, telecoms",https://subtelforum.com/repair-vessel-heads-out-to-fix-major-internet-cable-break/,Geopolitical,"The article mentions that the Seacom cable is suffering from a break in the Red Sea that cannot be repaired due to Houthi rebel activity, which is a direct geopolitical conflict issue.",Unknown,Unknown
31,MainOne Completes Repairs to Restore Internet,2024-05-15T10:07:35-04:00,"MainOne, repair, submarine cable, telecoms, West Africa",https://subtelforum.com/mainone-completes-repairs-to-restore-internet/,Aging,"The article mentions the repair of a submarine cable system that experienced an issue, but does not specify any geopolitical, human activity, or environmental cause. The focus on repairs and collaboration with maintenance providers suggests the likely cause was due to aging or degradation of the cable.",Unknown,West Africa
32,Internet Outages Across East Africa Due to Subsea Cable Cut,2024-05-13T14:01:33-04:00,"cable fault, East Africa, submarine cable, telecoms",https://subtelforum.com/internet-outages-across-east-africa-due-to-subsea-cable-cut/,Human Activity,"The article attributes the internet outages to a cut in the SEACOM and EASSY subsea cable systems, with no mention of natural events, geopolitical actions, or aging. The specific reference to a cable being ""cut"" suggests human activity, such as accidental damage from ships or fishing operations.",Unknown,East Africa
33,BTC Bids to Seize Yacht Over $1.5m Cable Break,2024-05-10T13:01:43-04:00,"Bahamas, BTC, cable damage, legal, submarine cable, telecoms",https://subtelforum.com/btc-bids-to-seize-yacht-over-1-5m-cable-break/,Human Activity,"The damage to the Bahamas Domestic Submarine Network (BDSNi) cable was caused by the M/V Retriever yacht attempting to anchor, which entangled its anchor in the cable. This is a clear case of human activity (maritime operations) leading to the incident.",Unknown,Bahamas
34,Yemen Subsea Cable Repairs Delayed,2024-05-08T11:15:39-04:00,"AAE-1, EIG, Red Sea, repair, SEACOM, submarine cable, telecoms, Yemen",https://subtelforum.com/yemen-subsea-cable-repairs-delayed/,Geopolitical,"The delay in cable repairs is directly caused by disputes related to the civil war in Yemen, including conflicts between the Yemeni government and Houthi rebels over control of TeleYemen, as well as disagreements with consortium members regarding representation and permits. The broader context of the ongoing conflict and geopolitical tensions is the primary cause.","SEACOM, EIG","Yemen, AAE-1"
35,WACS Subsea Cable Repaired After Landslide Damage,2024-05-08T10:51:17-04:00,"Africa, repair, submarine cable, telecoms, WACS",https://subtelforum.com/wacs-subsea-cable-repaired-after-landslide-damage/,Environmental,"The damage to the cables was caused by a suspected undersea landslide, which is a natural event. This fits the Environmental category as the root cause is not human activity, geopolitical conflict, or aging infrastructure.",Unknown,WACS
36,Subsea Cable Damage Cuts Internet to Islands Off Africa Coast,2024-04-26T13:57:07-04:00,"Africa, cable fault, La Reunion, Mauritius, SAFE, submarine cable, telecoms",https://subtelforum.com/subsea-cable-damage-cuts-internet-to-islands-off-africa-coast/,Environmental,"The article mentions that the damage to the SAFE submarine cable is part of a series of incidents, including seismic activity near the Ivory Coast that damaged four cables, indicating natural causes as the likely reason for the disruptions.",SAFE,Unknown
37,Internet Disruption May Affect Bangladesh for a Month,2024-04-24T10:56:33-04:00,"Bangladesh, cable fault, Internet, SEAMEWE5, submarine cable, telecoms",https://subtelforum.com/internet-disruption-may-affect-bangladesh-for-a-month/,Human Activity,"The article mentions that the SEA-ME-WE 5 submarine cable was suddenly severed, requiring repair work, which implies accidental damage or operational failure rather than natural causes, geopolitical actions, or aging.",Unknown,Bangladesh
38,Quintillion Submarine Cable Break Affects Alaska’s North Slope,2024-04-24T10:15:25-04:00,"Alaska, cable fault, North Slope, Quintillion, submarine cable, telecoms",https://subtelforum.com/quintillion-submarine-cable-break-affects-alaskas-north-slope/,Human Activity,"The article mentions a break in the Quintillion fiber optic cable, and while it notes challenging conditions in the Arctic (remote areas, weather, ice), it does not attribute the break to a natural environmental event. The focus is on the cable being cut or damaged without specifying a natural cause, suggesting human-related activities (e.g., construction, accidental damage) or operational failures.",Unknown,Alaska
39,Submarine Cable Break Slows Internet in Bangladesh,2024-04-22T10:02:51-04:00,"Bangladesh, BSCPLC, cable fault, Internet, SEAMEWE5, submarine cable, telecoms",https://subtelforum.com/submarine-cable-break-slows-internet-in-bangladesh/,Human Activity,"The article mentions that the SEA-ME-WE 5 submarine cable broke, and a ship will be mobilized to repair it, which suggests the cause is likely due to human activity such as shipping or fishing, rather than natural events or aging.",Unknown,Bangladesh
40,Undersea Cable Cuts Impact Nigeria Terrorism Fight,2024-04-05T11:00:51-04:00,"cable cut, Network, Nigera, security, submarine cable, telecoms",https://subtelforum.com/undersea-cable-cuts-impact-nigeria-terrorism-fight/,Human Activity,"The article mentions undersea cable cuts impacting connectivity, but there is no indication of natural causes, geopolitical conflict directly causing the cuts, or aging infrastructure. The context suggests human-related activities (e.g., fishing, construction, or accidental damage) are likely the cause, as sabotage is not explicitly confirmed.",Unknown,"Nigera, Network"
41,Ghana Internet Cuts Spark Digital Resilience Call,2024-04-05T10:52:19-04:00,"Africa, cable cut, cable protection, Ghana, Network, submarine cable, telecoms",https://subtelforum.com/ghana-internet-cuts-spark-digital-resilience-call/,Human Activity,"The article discusses internet disruptions in Ghana caused by damage to undersea cables, which are often linked to human activities such as fishing, anchoring, or other maritime operations, rather than natural events or geopolitical actions.",Unknown,Ghana
42,MainOne’s Repair Timeline Extends to Eight Weeks,2024-03-29T08:39:03-04:00,"Africa, cable fault, Internet, MainOne, submarine cable, telecoms",https://subtelforum.com/mainones-repair-timeline-extends-to-eight-weeks/,Human Activity,"The article discusses damage to undersea submarine cables and mentions repair efforts involving maintenance partners, vessel owners, and permitting authorities, which suggests human-related activities such as construction, fishing, or shipping as the likely cause. There is no mention of natural events, geopolitical conflict, or aging infrastructure.",Unknown,Unknown
43,$8M to Restore Subsea Cable Services,2024-03-29T08:37:19-04:00,"ACE, cable repair, MainOne, SAT3, submarine cable, telecoms, WACS, WIOCC",https://subtelforum.com/8m-to-restore-subsea-cable-services/,Environmental,"The article mentions that the submarine cables were damaged by heavy landslides from the coast of Cote d’Ivoire, with debris rolling into the ocean, which is a natural event. The CEO also ruled out sabotage or human-related causes.",ACE,WACS
44,Repair Vessels Set Sail for Subsea Cable Repairs,2024-03-29T08:43:29-04:00,"Africa, cable fault, cable repair, cable ship, submarine cable, telecoms",https://subtelforum.com/repair-vessels-set-sail-for-subsea-cable-repairs/,Human Activity,"The article discusses damage to submarine cables (SAT-3, ACE, WACS, MainOne) and repair efforts involving vessels, but does not mention natural events, geopolitical conflicts, or aging as the cause. The focus is on coordinated repair efforts, implying accidental or operational damage.",Unknown,Unknown
45,"Cable Cut: Services Successfully Restored, Says MTN",2024-03-20T09:46:34-04:00,"Africa, Bayobab Group, cable cut, cable fault, MTN, submarine cable, telecoms",https://subtelforum.com/cable-cut-services-successfully-restored-says-mtn/,Human Activity,"The article mentions ""subsea cable disruptions"" and discusses the restoration efforts through rerouting traffic and activating new cables, which implies human involvement in either accidental damage or maintenance activities rather than natural causes or geopolitical actions.",Unknown,Unknown
46,NCC Swift Response Restores Telecoms Services,2024-03-19T09:50:27-04:00,"Africa, cable fault, Internet, NCC, submarine cable, telecoms",https://subtelforum.com/ncc-swift-response-restores-telecoms-services/,Human Activity,"The article mentions ""undersea cable cuts"" as the cause of the disruption, which typically result from human activities such as fishing, ship anchors, or construction work, rather than natural events or geopolitical actions.",Unknown,Unknown
47,Ghana Grapples with Internet Crisis,2024-03-18T12:19:45-04:00,"cable fault, Ghana, internet outage, submarine cable, telecoms",https://subtelforum.com/ghana-grapples-with-internet-crisis/,Environmental,"The disruption of undersea cables is attributed to natural events or seabed movements, as indicated by the widespread and simultaneous disruptions in multiple locations (Senegal, Cote d'Ivoire, Portugal) without mention of human or geopolitical causes.",Unknown,Ghana
48,Seabed Vibrations Likely Behind MainOne Cable Cuts,2024-03-18T12:02:19-04:00,"Africa, cable fault, Internet, MainOne, submarie cable, telecoms",https://subtelforum.com/seabed-vibrations-likely-behind-mainone-cable-cuts/,Environmental,"The article explicitly mentions ""seismic activity on the seabed"" as the cause of the cable breaks, ruling out human activity due to the depth of the fault. The incident is attributed to natural geological events rather than geopolitical actions, human interference, or aging infrastructure.",Unknown,Unknown
49,Submarine Cable Repairs May Last Five Weeks – MainOne,2024-03-18T10:27:00-04:00,"Africa, cable fault, MainOne, submarine cable, telecoms",https://subtelforum.com/submarine-cable-repairs-may-last-five-weeks-mainone/,Human Activity,"The article attributes the cable damage to an ""external incident,"" which suggests human-related activities such as shipping, fishing, or construction, rather than natural events or aging. The lack of mention of geopolitical conflict or sabotage further supports this classification.",Unknown,Unknown
50,Internet Restored in CÃ´te d’Ivoire After Submarine Cable Disruption,2024-03-15T13:00:08-04:00,"cable fault, Cote D'Ivoire, Ivory Coast, repair, submarine cable, telecoms",https://subtelforum.com/internet-restored-in-cote-divoire-after-submarine-cable-disruption/,Human Activity,"The outages were caused by issues with submarine cables, which are typically related to human activities such as accidental damage, maintenance, or operational failures, rather than natural events or geopolitical actions.",Unknown,Ivory Coast
51,MainOne Update on Undersea Cable Restoration,2024-03-15T10:34:18-04:00,"Africa, cable fault, MainOne, repair, submarine cable, telecoms",https://subtelforum.com/mainone-update-on-undersea-cable-restoration/,Human Activity,"The article mentions a fault resulting from an incident on the submarine cable system offshore the coast of West Africa, which also affected other cable systems. While the exact cause isn't specified, the phrasing (""incident"") and the context of undersea cables suggest human-related activities such as ship anchors, fishing, or construction as likely causes, rather than natural events or geopolitical actions.",Unknown,Unknown
52,South Africa Internet Hit by Multiple Subsea Cable Breaks,2024-03-14T11:55:41-04:00,"ACE, cable fault, MainOne, network outage, SAT3, South Africa, submarine cable, telecoms, WACS",https://subtelforum.com/south-africa-internet-hit-by-multiple-subsea-cable-breaks/,Environmental,"The article mentions multiple undersea cable failures on both the West and East coasts of Africa, including WACS, MainOne, SAT3, ACE, EIG, Seacom, and AAE-1, but does not attribute the breaks to human activity, geopolitical conflict, or aging. The reference to the Red Sea cable cuts, combined with the lack of any stated human or geopolitical cause, suggests natural seabed movement or other environmental factors as the likely cause.",ACE,"WACS, South Africa"
53,Seacom Waits for Permits to Start Red Sea Cable Repairs,2024-03-08T10:19:15-05:00,"cable fault, Red Sea, SEACOM, submarine cable, telecoms",https://subtelforum.com/seacom-waits-for-permits-to-start-red-sea-cable-repairs/,Geopolitical,"The article mentions ongoing unrest in the Red Sea region, including attacks by Houthi rebels on commercial ships and threats to disrupt internet cables, which directly ties the cable damage to geopolitical conflict.",SEACOM,Unknown
54,Red Sea Cable Damage Disrupt ME Networks,2024-03-05T09:57:20-05:00,"cable fault, Internet, network outage, Red Sea, submarine cable, telecoms",https://subtelforum.com/red-sea-cable-damage-disrupt-me-networks/,Human Activity,"The article mentions damage to multiple submarine cables (Seacom, TGN, AAE-1, and EIG) in the Red Sea but does not attribute the cause to geopolitical conflict, environmental events, or aging. The lack of specified natural causes or sabotage suggests accidental human activity (e.g., ship anchors, fishing, or construction) as the likely cause.",Unknown,Unknown
55,Maintenance Work of SEA-ME-WE 4 Suspended,2024-03-01T13:27:20-05:00,"Bangladesh, BSCPLC, maintenance, SEAMEWE4, submarine cable, telecoms",https://subtelforum.com/maintenance-work-of-sea-me-we-4-suspended/,Aging,"The suspension of maintenance work on the SEA-ME-WE 4 cable is due to technical faults in the submarine cable systems, which suggests issues related to degradation or aging infrastructure.",Unknown,Bangladesh
56,Bangladesh Braces for Internet Disruption,2024-02-28T14:34:09-05:00,"Bangladesh, maintenance, SEAMEWE4, SEAMEWE5, submarine cable, telecoms",https://subtelforum.com/bangladesh-braces-for-internet-disruption/,Aging,"The article mentions maintenance work on the SEA-ME-WE 4 submarine cable, which implies the need for upkeep due to aging or degradation of the infrastructure.",Unknown,"SEAMEWE5, Bangladesh"
57,Houthis Hit Underwater Communications Cables,2024-02-26T10:02:06-05:00,"cable faults, Houthis, network outage, submarine cable, telecoms",https://subtelforum.com/houthis-hit-underwater-communications-cables/,Geopolitical,"The damage to the submarine cables was caused by the Houthis, a Yemenite rebel group, as part of their attacks on merchant ships and infrastructure in the Red Sea, which is a direct geopolitical conflict.",Unknown,Unknown
58,Seacom Confirms Cable Outage in Red Sea,2024-02-26T09:43:51-05:00,"cable fault, network outage, Red Sea, SEACOM, submarine cable, telecoms",https://subtelforum.com/seacom-confirms-cable-outage-in-red-sea/,Geopolitical,"The article explicitly mentions the disruption is in a geopolitically sensitive area with ongoing tensions, which complicates repair efforts, indicating the cause is likely related to geopolitical instability.",SEACOM,Unknown
59,Undersea Cables Fully Restored for Vietnam,2023-12-05T12:19:01-05:00,"Internet, maintenance, submarine cable, telecoms, Vietnam",https://subtelforum.com/undersea-cables-fully-restored-for-vietnam/,Human Activity,"The article discusses repairs on multiple undersea cables (AAE-1, AAG, IA, SMW3, APG) but does not attribute the simultaneous failures to natural causes, aging, or geopolitical conflicts. The context suggests operational or accidental disruptions typical of human activity in cable maintenance or maritime operations.",Unknown,Vietnam
60,Africa Cable Breaks Worse Than Reported,2023-09-11T12:53:38-04:00,"ACE, Africa, cable break, cable faults, digital infrastructure, SAT3, submarine cable, WACS",https://subtelforum.com/africa-cable-breaks-worse-than-reported/,Environmental,"The article states that the cable breaks were caused by ""gravity-driven slope displacements"" and mentions a rockfall in the Congo Canyon, which are natural geological events.",Unknown,WACS
61,WACS Submarine Cable to Be Fully Repaired This Week,2023-09-06T10:56:42-04:00,"Africa, cable faults, digital infrastructure, Internet, submarine cable, WACS",https://subtelforum.com/wacs-submarine-cable-to-be-fully-repaired-this-week/,Environmental,"The article cites a strong turbidity current in the Congo River undersea canyon as the possible cause for the breakage of the undersea cables, which is a natural event.",Unknown,WACS
62,WACS Cable Undergoes Repairs Off African Coast,2023-09-01T11:46:25-04:00,"Africa, cable fault, maintenance, submarine cable, telecoms, WACS",https://subtelforum.com/wacs-cable-undergoes-repairs-off-african-coast/,Environmental,"The article explicitly mentions that the damage to the West African Cable System (WACS) was caused by sub-sea rock slides in the Congo Canyon, which is a natural event.",Unknown,WACS
63,WIOCC Restores ISPs on Equiano Cable Amid Outages,2023-08-17T12:59:53-04:00,"cable faults, digital infrastructure, Equiano, Subsea Cables, WIOCC",https://subtelforum.com/wiocc-restores-isps-on-equiano-cable-amid-outages/,Environmental,"The article explicitly states that the cause of the subsea cable damage was a ""probable rock fall in the Congo Canyon,"" which is a natural geological event.",Unknown,Unknown
64,South Africa Undersea Cables Break,2023-08-07T10:35:50-04:00,"Africa, Internet, Leon Thevenin, SAT-3, South Africa, submarine cable, submarine cable fault, WACS",https://subtelforum.com/south-africa-undersea-cables-break/,Environmental,"The breaks in the WACS and SAT-3 undersea cables were caused by a rock fall in the Congo Canyon, which is a natural geological event.",Unknown,"WACS, South Africa"
65,Frequent Cable Breaks in Asian Subsea,2023-07-24T10:40:02-04:00,"Asia, cable faults, infrastructure, submarine cable",https://subtelforum.com/frequent-cable-breaks-in-asian-subsea/,Human Activity,"The article identifies fishing vessels as the primary cause of cable breaks, with the problem worsened by increased post-covid fishing activity and cables being buried at shallow depths.",Unknown,Unknown
66,Tonga Cable Fixed 18 Months Post-Eruption,2023-07-14T10:56:57-04:00,"digital infrastructure, repair, submarine cable, Tonga",https://subtelforum.com/tonga-cable-fixed-18-months-post-eruption/,Environmental,"The damage to the cables was caused by an underwater volcanic eruption, which is a natural event.",Unknown,Tonga
